"metacell","cell_type","age"
330,"Epiblast",4.70588235294118
331,"Epiblast",4.77777777777778
332,"Epiblast",4.08695652173913
333,"Epiblast",4.32352941176471
334,"Epiblast",5.02564102564103
335,"Epiblast",4.80769230769231
336,"Epiblast",4.23529411764706
337,"Epiblast",3.93333333333333
338,"Dppa3+",4.61290322580645
339,"Epiblast",4.7906976744186
340,"Epiblast",4.5945945945946
341,"Epiblast",4.65384615384615
342,"Epiblast",4.07142857142857
343,"Epiblast",4.28125
344,"Epiblast",4.44827586206897
345,"Epiblast",4.3448275862069
346,"Epiblast",4.55172413793104
347,"Epiblast",4.42307692307692
348,"Epiblast",4.17241379310345
349,"Epiblast",4.09677419354839
350,"Epiblast",4.03846153846154
351,"Epiblast",4.28
352,"Epiblast",4.2962962962963
353,"Epiblast",4.35294117647059
354,"Epiblast",4.22222222222222
355,"Epiblast",4.06896551724138
356,"Epiblast",4.19354838709677
357,"Epiblast",4.13793103448276
358,"Epiblast",4.23333333333333
359,"Epiblast",4.17857142857143
360,"Epiblast",4.125
361,"Epiblast",4.06060606060606
362,"Epiblast",4.35714285714286
363,"Epiblast",3.76470588235294
364,"Epiblast",4.68421052631579
365,"Epiblast",4.5
366,"Epiblast",4.84848484848485
367,"Epiblast",4.24
368,"Epiblast",4.42307692307692
369,"Epiblast",4.4
370,"Epiblast",3.90322580645161
371,"Epiblast",4.45161290322581
372,"Epiblast",4.4
373,"Epiblast",4.8
374,"Epiblast",4.16216216216216
375,"Epiblast",3.35483870967742
376,"Epiblast",3.57142857142857
377,"Epiblast",4.41176470588235
378,"Epiblast",4.29032258064516
379,"Epiblast",5.1304347826087
380,"Epiblast",5.20833333333333
381,"Epiblast",5.42307692307692
382,"Primitive Streak",5.47222222222222
383,"Epiblast",5.66666666666667
384,"Primitive Streak",5.15625
385,"Primitive Streak",5.03125
386,"Primitive Streak",5.24444444444444
387,"Primitive Streak",5.31914893617021
388,"Primitive Streak",5.51515151515152
389,"Primitive Streak",4.73333333333333
390,"Epiblast",5.16666666666667
391,"Primitive Streak",5.04597701149425
392,"Primitive Streak",5
393,"Primitive Streak",4.78125
394,"Primitive Streak",4.88571428571429
395,"Primitive Streak",4.90243902439024
396,"Epiblast",5.07692307692308
397,"Epiblast",4.875
398,"Epiblast",5.06896551724138
399,"Epiblast",4.48
400,"Epiblast",4.40909090909091
401,"Sox1+",6.78181818181818
402,"Primitive Streak",5.32075471698113
403,"Primitive Streak",5.97647058823529
404,"Primitive Streak",5.2
405,"Primitive Streak",5.18279569892473
406,"Ambiguous",4.58823529411765
407,"Ambiguous",5.28125
408,"Primitive Streak",5.30909090909091
409,"Primitive Streak",5.17647058823529
410,"Primitive Streak",4.96739130434783
411,"Primitive Streak",4.70731707317073
412,"Primitive Streak",4.84615384615385
413,"Primitive Streak",4.64102564102564
414,"Epiblast",4.69230769230769
415,"Epiblast",4.75
416,"Epiblast",4.4
417,"Epiblast",4
418,"Epiblast",4.69230769230769
419,"Epiblast",4.4
420,"Epiblast",4.2972972972973
421,"Epiblast",4.25925925925926
422,"Epiblast",4.5
423,"Epiblast",4
424,"Epiblast",4.25925925925926
425,"Epiblast",4.23076923076923
426,"Epiblast",4.11538461538462
427,"Epiblast",4.25
428,"Epiblast",4.57142857142857
429,"Epiblast",4.46428571428571
430,"Epiblast",4.36363636363636
431,"Epiblast",4.34375
432,"Epiblast",4.44
433,"Epiblast",4.09090909090909
434,"Epiblast",4.19354838709677
435,"Epiblast",4.76666666666667
436,"Epiblast",4.52380952380952
437,"Epiblast",5.375
438,"Epiblast",4.79310344827586
439,"Sox1+",4.89655172413793
440,"Epiblast",4.78125
441,"Epiblast",4.85294117647059
442,"Epiblast",5.5
443,"Sox1+",5.84848484848485
444,"Epiblast",5.12903225806452
445,"Epiblast",5.20833333333333
446,"Epiblast",4.90909090909091
447,"Sox1+",5.25806451612903
448,"Epiblast",5.54545454545455
449,"Epiblast",5.45714285714286
450,"Sox1+",5.21875
451,"Sox1+",5.35714285714286
452,"Sox1+",5.14285714285714
453,"Epiblast",5.03333333333333
454,"Epiblast",5.39285714285714
455,"Epiblast",5.48484848484848
456,"Epiblast",5.36363636363636
457,"Epiblast",5.0625
458,"Epiblast",5.3030303030303
459,"Epiblast",5.33333333333333
460,"Epiblast",5.48387096774194
461,"Epiblast",5.25
462,"Epiblast",5.61764705882353
463,"Epiblast",5.3030303030303
464,"Epiblast",5.97222222222222
465,"Epiblast",5.625
466,"Sox1+",5.67857142857143
467,"Sox1+",6.125
468,"Epiblast",6.22222222222222
469,"Sox1+",6.36111111111111
